C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
2023-03-09 17:42:17,894 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,895 - STREAM b'IDAT' 41 18698
2023-03-09 17:42:17,907 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,908 - STREAM b'pHYs' 41 9
2023-03-09 17:42:17,908 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:17,935 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,936 - STREAM b'IDAT' 41 22436
2023-03-09 17:42:17,950 - STREAM b'IHDR' 16 13
2023-03-09 17:42:17,951 - STREAM b'pHYs' 41 9
2023-03-09 17:42:17,952 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:18,002 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,003 - STREAM b'IDAT' 41 21308
2023-03-09 17:42:18,015 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,016 - STREAM b'pHYs' 41 9
2023-03-09 17:42:18,017 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:18,061 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,062 - STREAM b'IDAT' 41 18564
2023-03-09 17:42:18,082 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,083 - STREAM b'pHYs' 41 9
2023-03-09 17:42:18,083 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:18,521 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,522 - STREAM b'IDAT' 41 17553
2023-03-09 17:42:18,535 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,536 - STREAM b'pHYs' 41 9
2023-03-09 17:42:18,536 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:18,565 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,566 - STREAM b'IDAT' 41 18124
2023-03-09 17:42:18,578 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,579 - STREAM b'pHYs' 41 9
2023-03-09 17:42:18,580 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:18,610 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,611 - STREAM b'IDAT' 41 19984
2023-03-09 17:42:18,623 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,624 - STREAM b'pHYs' 41 9
2023-03-09 17:42:18,624 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:18,652 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,653 - STREAM b'IDAT' 41 20843
2023-03-09 17:42:18,680 - STREAM b'IHDR' 16 13
2023-03-09 17:42:18,681 - STREAM b'pHYs' 41 9
2023-03-09 17:42:18,682 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,133 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,134 - STREAM b'IDAT' 41 19536
2023-03-09 17:42:19,147 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,148 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,148 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,177 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,178 - STREAM b'IDAT' 41 18377
2023-03-09 17:42:19,191 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,192 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,193 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,222 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,223 - STREAM b'IDAT' 41 18116
2023-03-09 17:42:19,234 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,235 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,236 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,262 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,263 - STREAM b'IDAT' 41 20423
2023-03-09 17:42:19,275 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,276 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,276 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,787 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,788 - STREAM b'IDAT' 41 16921
2023-03-09 17:42:19,801 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,802 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,802 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,829 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,829 - STREAM b'IDAT' 41 19450
2023-03-09 17:42:19,841 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,842 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,842 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,868 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,869 - STREAM b'IDAT' 41 20217
2023-03-09 17:42:19,880 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,881 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,881 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:19,906 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,907 - STREAM b'IDAT' 41 22125
2023-03-09 17:42:19,918 - STREAM b'IHDR' 16 13
2023-03-09 17:42:19,919 - STREAM b'pHYs' 41 9
2023-03-09 17:42:19,919 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:20,374 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,375 - STREAM b'IDAT' 41 17213
2023-03-09 17:42:20,387 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,387 - STREAM b'pHYs' 41 9
2023-03-09 17:42:20,388 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:20,418 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,419 - STREAM b'IDAT' 41 21642
2023-03-09 17:42:20,432 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,432 - STREAM b'pHYs' 41 9
2023-03-09 17:42:20,433 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:20,466 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,467 - STREAM b'IDAT' 41 18838
2023-03-09 17:42:20,479 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,480 - STREAM b'pHYs' 41 9
2023-03-09 17:42:20,480 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:20,506 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,507 - STREAM b'IDAT' 41 19676
2023-03-09 17:42:20,520 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,521 - STREAM b'pHYs' 41 9
2023-03-09 17:42:20,521 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:20,946 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,947 - STREAM b'IDAT' 41 19827
2023-03-09 17:42:20,959 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,960 - STREAM b'pHYs' 41 9
2023-03-09 17:42:20,960 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:20,987 - STREAM b'IHDR' 16 13
2023-03-09 17:42:20,987 - STREAM b'IDAT' 41 22024
2023-03-09 17:42:20,999 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,000 - STREAM b'pHYs' 41 9
2023-03-09 17:42:21,000 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:21,030 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,030 - STREAM b'IDAT' 41 17248
2023-03-09 17:42:21,046 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,047 - STREAM b'pHYs' 41 9
2023-03-09 17:42:21,047 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:21,076 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,077 - STREAM b'IDAT' 41 19445
2023-03-09 17:42:21,090 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,091 - STREAM b'pHYs' 41 9
2023-03-09 17:42:21,091 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:21,552 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,553 - STREAM b'IDAT' 41 21388
2023-03-09 17:42:21,566 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,566 - STREAM b'pHYs' 41 9
2023-03-09 17:42:21,567 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:21,596 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,597 - STREAM b'IDAT' 41 19857
2023-03-09 17:42:21,610 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,611 - STREAM b'pHYs' 41 9
2023-03-09 17:42:21,611 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:21,638 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,639 - STREAM b'IDAT' 41 21664
2023-03-09 17:42:21,650 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,651 - STREAM b'pHYs' 41 9
2023-03-09 17:42:21,652 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:21,686 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,687 - STREAM b'IDAT' 41 17371
2023-03-09 17:42:21,699 - STREAM b'IHDR' 16 13
2023-03-09 17:42:21,700 - STREAM b'pHYs' 41 9
2023-03-09 17:42:21,700 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:22,175 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,176 - STREAM b'IDAT' 41 20078
2023-03-09 17:42:22,187 - STREAM b'IHDR' 16 13
2023-03-09 17:42:22,188 - STREAM b'pHYs' 41 9
2023-03-09 17:42:22,188 - STREAM b'IDAT' 62 8192
